0,1108
1,791
2,805
3,543
4,435
5,460
6,326
7,389
8,416
9,288
10,369
11,326
12,316
13,333
14,295
15,345
16,325
17,296
18,357
19,333
20,346
21,371
22,395
23,394
24,364
25,367
26,425
27,401
28,388
29,430
30,411
31,443
32,414
33,410
34,435
35,480
36,414
37,474
38,498
39,533
40,553
41,612
42,853
43,774
44,931
45,997
46,1100
47,1270
48,1489
49,1690
50,2038
51,2321
52,2551
53,2572
54,2792
55,3190
56,3549
57,3680
58,3893
59,4188
60,4141
61,4542
62,5007
63,5421
64,6040
65,6441
66,7167
67,7946
68,8327
69,8765
70,9356
71,9983
72,10279
73,10687
74,11168
75,12139
76,13331
77,14114
78,14538
79,14835
80,15373
81,15731
82,15523
83,15684
84,16114
85,16764
86,16371
87,16472
88,16709
89,17105
90,17036
91,17566
92,17982
93,18193
94,18543
95,19132
96,19546
97,19883
98,19546
99,18888
100,18152
101,17976
102,17900
103,18007
104,17562
105,17449
106,17288
107,17361
108,17051
109,17229
110,16762
111,16520
112,16235
113,16113
114,15434
115,14601
116,14328
117,14024
118,13560
119,13154
120,12971
121,13009
122,13152
123,13103
124,13222
125,12917
126,12684
127,12447
128,11788
129,11449
130,10676
131,10602
132,10537
133,10297
134,10030
135,9951
136,9720
137,9869
138,9846
139,9996
140,9893
141,9887
142,9586
143,9575
144,9480
145,9192
146,9257
147,9518
148,9703
149,9605
150,9621
151,9634
152,9809
153,10098
154,10272
155,10374
156,10139
157,9593
158,9232
159,8995
160,8923
161,8713
162,8406
163,8498
164,8748
165,8840
166,8850
167,8924
168,8675
169,8217
170,8223
171,8552
172,8314
173,8488
174,8516
175,8578
176,9279
177,9539
178,10100
179,10182
180,11514
181,12245
182,11926
183,12106
184,12263
185,13516
186,12813
187,12025
188,12182
189,12535
190,13226
191,13892
192,14579
193,13847
194,13627
195,14952
196,16827
197,17335
198,15959
199,15370
200,15582
201,14975
202,14533
203,14045
204,15220
205,15955
206,16164
207,16525
208,15589
209,15170
210,15923
211,18108
212,18681
213,18977
214,19681
215,21133
216,20915
217,20055
218,22410
219,28427
220,35116
221,24631
222,27307
223,27947
224,30664
225,37544
226,29978
227,21869
228,22449
229,21324
230,21172
231,15675
232,9692
233,8374
234,8349
235,7108
236,7715
237,8452
238,7904
239,5445
240,5173
241,4706
242,3641
243,4061
244,4958
245,4942
246,2609
247,934
248,477
249,97
250,0
251,0
252,0
253,0
254,0
255,0
